           Z  Fieldvalue
 ----------- -----------
 -5.0000E+01  6.1796E+00
 -4.9734E+01  6.2266E+00
 -4.9468E+01  6.2736E+00
 -4.9202E+01  6.3206E+00
 -4.8936E+01  6.3694E+00
 -4.8670E+01  6.4666E+00
 -4.8404E+01  6.5637E+00
 -4.8138E+01  6.6609E+00
 -4.7872E+01  6.7577E+00
 -4.7606E+01  6.8495E+00
 -4.7340E+01  6.9412E+00
 -4.7074E+01  7.0329E+00
 -4.6809E+01  7.1225E+00
 -4.6543E+01  7.1946E+00
 -4.6277E+01  7.2667E+00
 -4.6011E+01  7.3388E+00
 -4.5745E+01  7.4080E+00
 -4.5479E+01  7.4593E+00
 -4.5213E+01  7.5106E+00
 -4.4947E+01  7.5620E+00
 -4.4681E+01  7.6089E+00
 -4.4415E+01  7.6353E+00
 -4.4149E+01  7.6618E+00
 -4.3883E+01  7.6883E+00
 -4.3617E+01  7.7093E+00
 -4.3351E+01  7.7105E+00
 -4.3085E+01  7.7116E+00
 -4.2819E+01  7.7127E+00
 -4.2553E+01  7.7089E+00
 -4.2287E+01  7.6902E+00
 -4.2021E+01  7.6715E+00
 -4.1755E+01  7.6528E+00
 -4.1489E+01  7.6282E+00
 -4.1223E+01  7.5887E+00
 -4.0957E+01  7.5493E+00
 -4.0691E+01  7.5098E+00
 -4.0426E+01  7.4648E+00
 -4.0160E+01  7.4079E+00
 -3.9894E+01  7.3511E+00
 -3.9628E+01  7.2943E+00
 -3.9362E+01  7.2330E+00
 -3.9096E+01  7.1635E+00
 -3.8830E+01  7.0941E+00
 -3.8564E+01  7.0246E+00
 -3.8298E+01  6.9506E+00
 -3.8032E+01  6.8696E+00
 -3.7766E+01  6.7886E+00
 -3.7500E+01  6.7076E+00
 -3.7234E+01  6.6232E+00
 -3.6968E+01  6.5342E+00
 -3.6702E+01  6.4452E+00
 -3.6436E+01  6.3563E+00
 -3.6170E+01  6.2639E+00
 -3.5904E+01  6.1676E+00
 -3.5638E+01  6.0713E+00
 -3.5372E+01  5.9751E+00
 -3.5106E+01  5.8764E+00
 -3.4840E+01  5.7752E+00
 -3.4574E+01  5.6741E+00
 -3.4309E+01  5.5730E+00
 -3.4043E+01  5.4712E+00
 -3.3777E+01  5.3689E+00
 -3.3511E+01  5.2665E+00
 -3.3245E+01  5.1642E+00
 -3.2979E+01  5.0613E+00
 -3.2713E+01  4.9580E+00
 -3.2447E+01  4.8547E+00
 -3.2181E+01  4.7514E+00
 -3.1915E+01  4.6484E+00
 -3.1649E+01  4.5456E+00
 -3.1383E+01  4.4427E+00
 -3.1117E+01  4.3399E+00
 -3.0851E+01  4.2382E+00
 -3.0585E+01  4.1373E+00
 -3.0319E+01  4.0363E+00
 -3.0053E+01  3.9353E+00
 -2.9787E+01  3.8357E+00
 -2.9521E+01  3.7367E+00
 -2.9255E+01  3.6377E+00
 -2.8989E+01  3.5388E+00
 -2.8723E+01  3.4413E+00
 -2.8457E+01  3.3445E+00
 -2.8191E+01  3.2476E+00
 -2.7926E+01  3.1508E+00
 -2.7660E+01  3.0552E+00
 -2.7394E+01  2.9601E+00
 -2.7128E+01  2.8651E+00
 -2.6862E+01  2.7700E+00
 -2.6596E+01  2.6754E+00
 -2.6330E+01  2.5809E+00
 -2.6064E+01  2.4865E+00
 -2.5798E+01  2.3921E+00
 -2.5532E+01  2.2966E+00
 -2.5266E+01  2.2009E+00
 -2.5000E+01  2.1052E+00
 -2.4734E+01  2.0095E+00
 -2.4468E+01  1.9098E+00
 -2.4202E+01  1.8095E+00
 -2.3936E+01  1.7091E+00
 -2.3670E+01  1.6087E+00
 -2.3404E+01  1.4993E+00
 -2.3138E+01  1.3886E+00
 -2.2872E+01  1.2780E+00
 -2.2606E+01  1.1674E+00
 -2.2340E+01  1.0367E+00
 -2.2074E+01  9.0440E-01
 -2.1809E+01  7.7208E-01
 -2.1543E+01  6.3976E-01
 -2.1277E+01  4.5547E-01
 -2.1011E+01  2.6908E-01
 -2.0745E+01  8.2694E-02
 -2.0479E+01 -1.0370E-01
 -2.0213E+01 -4.7641E-01
 -1.9947E+01 -8.4973E-01
 -1.9681E+01 -1.2231E+00
 -1.9415E+01 -1.6075E+00
 -1.9149E+01 -2.3258E+00
 -1.8883E+01 -3.0441E+00
 -1.8617E+01 -3.7624E+00
 -1.8351E+01 -4.3775E+00
 -1.8085E+01 -3.5755E+00
 -1.7819E+01 -2.7736E+00
 -1.7553E+01 -1.9717E+00
 -1.7287E+01 -9.6536E-01
 -1.7021E+01  7.9193E-01
 -1.6755E+01  2.5492E+00
 -1.6489E+01  3.3447E+00
 -1.6223E+01  2.8971E+00
 -1.5957E+01  2.0708E+00
 -1.5691E+01  7.3025E-01
 -1.5426E+01 -2.8078E-01
 -1.5160E+01 -8.2168E-01
 -1.4894E+01 -1.1851E+00
 -1.4628E+01 -1.2825E+00
 -1.4362E+01 -1.1946E+00
 -1.4096E+01 -8.1220E-01
 -1.3830E+01 -6.2735E-01
 -1.3564E+01 -7.7633E-01
 -1.3298E+01 -1.2149E+00
 -1.3032E+01 -2.1734E+00
 -1.2766E+01 -3.1319E+00
 -1.2500E+01 -3.6787E+00
 -1.2234E+01 -3.9146E+00
 -1.1968E+01 -4.1505E+00
 -1.1702E+01 -4.3863E+00
 -1.1436E+01 -4.2048E+00
 -1.1170E+01 -3.8484E+00
 -1.0904E+01 -3.4919E+00
 -1.0638E+01 -3.1354E+00
 -1.0372E+01 -2.9063E+00
 -1.0106E+01 -2.7240E+00
 -9.8404E+00 -2.5416E+00
 -9.5745E+00 -2.3592E+00
 -9.3085E+00 -2.2272E+00
 -9.0426E+00 -2.1112E+00
 -8.7766E+00 -1.9952E+00
 -8.5106E+00 -1.8792E+00
 -8.2447E+00 -1.7810E+00
 -7.9787E+00 -1.6876E+00
 -7.7128E+00 -1.5941E+00
 -7.4468E+00 -1.5007E+00
 -7.1809E+00 -1.4196E+00
 -6.9149E+00 -1.3413E+00
 -6.6489E+00 -1.2630E+00
 -6.3830E+00 -1.1848E+00
 -6.1170E+00 -1.1177E+00
 -5.8511E+00 -1.0529E+00
 -5.5851E+00 -9.8804E-01
 -5.3191E+00 -9.2319E-01
 -5.0532E+00 -8.6889E-01
 -4.7872E+00 -8.1622E-01
 -4.5213E+00 -7.6355E-01
