           Z  Fieldvalue
 ----------- -----------
 -3.5000E+01 -2.6333E+01
 -3.4823E+01 -2.7890E+01
 -3.4646E+01 -2.9446E+01
 -3.4468E+01 -3.1003E+01
 -3.4291E+01 -3.2559E+01
 -3.4114E+01 -3.5307E+01
 -3.3937E+01 -3.8226E+01
 -3.3759E+01 -4.1145E+01
 -3.3582E+01 -4.4065E+01
 -3.3405E+01 -4.6685E+01
 -3.3228E+01 -4.9205E+01
 -3.3051E+01 -5.1724E+01
 -3.2873E+01 -5.4244E+01
 -3.2696E+01 -5.6502E+01
 -3.2519E+01 -5.8603E+01
 -3.2342E+01 -6.0703E+01
 -3.2165E+01 -6.2803E+01
 -3.1987E+01 -6.4706E+01
 -3.1810E+01 -6.6408E+01
 -3.1633E+01 -6.8110E+01
 -3.1456E+01 -6.9813E+01
 -3.1278E+01 -7.1394E+01
 -3.1101E+01 -7.2770E+01
 -3.0924E+01 -7.4145E+01
 -3.0747E+01 -7.5521E+01
 -3.0570E+01 -7.6839E+01
 -3.0392E+01 -7.7978E+01
 -3.0215E+01 -7.9118E+01
 -3.0038E+01 -8.0257E+01
 -2.9861E+01 -8.1381E+01
 -2.9684E+01 -8.2394E+01
 -2.9506E+01 -8.3406E+01
 -2.9329E+01 -8.4419E+01
 -2.9152E+01 -8.5431E+01
 -2.8975E+01 -8.6430E+01
 -2.8797E+01 -8.7428E+01
 -2.8620E+01 -8.8427E+01
 -2.8443E+01 -8.9426E+01
 -2.8266E+01 -9.0495E+01
 -2.8089E+01 -9.1575E+01
 -2.7911E+01 -9.2655E+01
 -2.7734E+01 -9.3735E+01
 -2.7557E+01 -9.4921E+01
 -2.7380E+01 -9.6145E+01
 -2.7203E+01 -9.7369E+01
 -2.7025E+01 -9.8593E+01
 -2.6848E+01 -9.9920E+01
 -2.6671E+01 -1.0131E+02
 -2.6494E+01 -1.0270E+02
 -2.6316E+01 -1.0410E+02
 -2.6139E+01 -1.0556E+02
 -2.5962E+01 -1.0709E+02
 -2.5785E+01 -1.0863E+02
 -2.5608E+01 -1.1016E+02
 -2.5430E+01 -1.1172E+02
