           Z  Fieldvalue
 ----------- -----------
 -3.5000E+01  9.5288E+01
 -3.4823E+01  9.5429E+01
 -3.4646E+01  9.5570E+01
 -3.4468E+01  9.5710E+01
 -3.4291E+01  9.5851E+01
 -3.4114E+01  9.6237E+01
 -3.3937E+01  9.6658E+01
 -3.3759E+01  9.7079E+01
 -3.3582E+01  9.7500E+01
 -3.3405E+01  9.8137E+01
 -3.3228E+01  9.8845E+01
 -3.3051E+01  9.9554E+01
 -3.2873E+01  1.0026E+02
 -3.2696E+01  1.0115E+02
 -3.2519E+01  1.0216E+02
 -3.2342E+01  1.0316E+02
 -3.2165E+01  1.0416E+02
 -3.1987E+01  1.0531E+02
 -3.1810E+01  1.0660E+02
 -3.1633E+01  1.0789E+02
 -3.1456E+01  1.0918E+02
 -3.1278E+01  1.1058E+02
 -3.1101E+01  1.1216E+02
 -3.0924E+01  1.1374E+02
 -3.0747E+01  1.1532E+02
 -3.0570E+01  1.1696E+02
 -3.0392E+01  1.1880E+02
 -3.0215E+01  1.2064E+02
 -3.0038E+01  1.2248E+02
 -2.9861E+01  1.2434E+02
 -2.9684E+01  1.2640E+02
 -2.9506E+01  1.2846E+02
 -2.9329E+01  1.3052E+02
 -2.9152E+01  1.3258E+02
 -2.8975E+01  1.3480E+02
 -2.8797E+01  1.3702E+02
 -2.8620E+01  1.3924E+02
 -2.8443E+01  1.4146E+02
 -2.8266E+01  1.4375E+02
 -2.8089E+01  1.4604E+02
 -2.7911E+01  1.4834E+02
 -2.7734E+01  1.5063E+02
 -2.7557E+01  1.5291E+02
 -2.7380E+01  1.5518E+02
 -2.7203E+01  1.5745E+02
 -2.7025E+01  1.5972E+02
 -2.6848E+01  1.6191E+02
 -2.6671E+01  1.6405E+02
 -2.6494E+01  1.6618E+02
 -2.6316E+01  1.6832E+02
 -2.6139E+01  1.7033E+02
 -2.5962E+01  1.7221E+02
 -2.5785E+01  1.7409E+02
 -2.5608E+01  1.7597E+02
 -2.5430E+01  1.7771E+02
 -2.5253E+01  1.7921E+02
 -2.5076E+01  1.8070E+02
 -2.4899E+01  1.8220E+02
 -2.4722E+01  1.8358E+02
 -2.4544E+01  1.8457E+02
 -2.4367E+01  1.8556E+02
 -2.4190E+01  1.8655E+02
 -2.4013E+01  1.8748E+02
 -2.3835E+01  1.8785E+02
 -2.3658E+01  1.8822E+02
 -2.3481E+01  1.8859E+02
 -2.3304E+01  1.8895E+02
 -2.3127E+01  1.8860E+02
 -2.2949E+01  1.8823E+02
 -2.2772E+01  1.8786E+02
 -2.2595E+01  1.8749E+02
 -2.2418E+01  1.8639E+02
 -2.2241E+01  1.8516E+02
 -2.2063E+01  1.8394E+02
 -2.1886E+01  1.8272E+02
 -2.1709E+01  1.8080E+02
 -2.1532E+01  1.7861E+02
 -2.1354E+01  1.7643E+02
 -2.1177E+01  1.7424E+02
 -2.1000E+01  1.7140E+02
 -2.0823E+01  1.6812E+02
 -2.0646E+01  1.6484E+02
 -2.0468E+01  1.6156E+02
 -2.0291E+01  1.5769E+02
 -2.0114E+01  1.5316E+02
 -1.9937E+01  1.4863E+02
 -1.9759E+01  1.4410E+02
 -1.9582E+01  1.3907E+02
 -1.9405E+01  1.3311E+02
 -1.9228E+01  1.2715E+02
 -1.9051E+01  1.2119E+02
 -1.8873E+01  1.1485E+02
 -1.8696E+01  1.0722E+02
 -1.8519E+01  9.9586E+01
 -1.8342E+01  9.1954E+01
 -1.8165E+01  8.4124E+01
 -1.7987E+01  7.4519E+01
 -1.7810E+01  6.4914E+01
 -1.7633E+01  5.5309E+01
 -1.7456E+01  4.5705E+01
 -1.7278E+01  3.3819E+01
 -1.7101E+01  2.1872E+01
 -1.6924E+01  9.9255E+00
 -1.6747E+01 -2.0211E+00
 -1.6570E+01 -1.6321E+01
 -1.6392E+01 -3.1043E+01
 -1.6215E+01 -4.5764E+01
 -1.6038E+01 -6.0486E+01
 -1.5861E+01 -7.7561E+01
 -1.5684E+01 -9.5543E+01
 -1.5506E+01 -1.1352E+02
 -1.5329E+01 -1.3151E+02
 -1.5152E+01 -1.5173E+02
 -1.4975E+01 -1.7346E+02
 -1.4797E+01 -1.9520E+02
 -1.4620E+01 -2.1694E+02
 -1.4443E+01 -2.4065E+02
 -1.4266E+01 -2.6657E+02
 -1.4089E+01 -2.9249E+02
 -1.3911E+01 -3.1842E+02
 -1.3734E+01 -3.4586E+02
 -1.3557E+01 -3.7621E+02
 -1.3380E+01 -4.0656E+02
 -1.3203E+01 -4.3691E+02
 -1.3025E+01 -4.6820E+02
 -1.2848E+01 -5.0287E+02
 -1.2671E+01 -5.3753E+02
 -1.2494E+01 -5.7220E+02
 -1.2316E+01 -6.0721E+02
 -1.2139E+01 -6.4554E+02
 -1.1962E+01 -6.8388E+02
 -1.1785E+01 -7.2221E+02
 -1.1608E+01 -7.6066E+02
 -1.1430E+01 -8.0125E+02
 -1.1253E+01 -8.4183E+02
 -1.1076E+01 -8.8252E+02
 -1.0899E+01 -9.2395E+02
 -1.0722E+01 -9.6538E+02
 -1.0544E+01 -1.0069E+03
 -1.0367E+01 -1.0484E+03
 -1.0190E+01 -1.0894E+03
 -1.0013E+01 -1.1304E+03
 -9.8354E+00 -1.1705E+03
 -9.6582E+00 -1.2104E+03
 -9.4810E+00 -1.2491E+03
 -9.3038E+00 -1.2875E+03
 -9.1266E+00 -1.3242E+03
 -8.9494E+00 -1.3606E+03
 -8.7722E+00 -1.3947E+03
 -8.5949E+00 -1.4281E+03
 -8.4177E+00 -1.4614E+03
 -8.2405E+00 -1.4907E+03
 -8.0633E+00 -1.5191E+03
 -7.8861E+00 -1.5475E+03
 -7.7089E+00 -1.5759E+03
 -7.5316E+00 -1.5993E+03
 -7.3544E+00 -1.6214E+03
 -7.1772E+00 -1.6435E+03
 -7.0000E+00 -1.6656E+03
 -6.8228E+00 -1.6834E+03
 -6.6456E+00 -1.6990E+03
 -6.4684E+00 -1.7146E+03
 -6.2911E+00 -1.7302E+03
 -6.1139E+00 -1.7425E+03
 -5.9367E+00 -1.7519E+03
 -5.7595E+00 -1.7612E+03
 -5.5823E+00 -1.7706E+03
 -5.4051E+00 -1.7775E+03
 -5.2278E+00 -1.7811E+03
 -5.0506E+00 -1.7846E+03
 -4.8734E+00 -1.7882E+03
 -4.6962E+00 -1.7902E+03
 -4.5190E+00 -1.7884E+03
 -4.3418E+00 -1.7866E+03
 -4.1646E+00 -1.7848E+03
 -3.9873E+00 -1.7823E+03
 -3.8101E+00 -1.7757E+03
 -3.6329E+00 -1.7691E+03
 -3.4557E+00 -1.7625E+03
 -3.2785E+00 -1.7557E+03
 -3.1013E+00 -1.7448E+03
 -2.9241E+00 -1.7339E+03
 -2.7468E+00 -1.7230E+03
 -2.5696E+00 -1.7121E+03
 -2.3924E+00 -1.6977E+03
 -2.2152E+00 -1.6830E+03
 -2.0380E+00 -1.6683E+03
 -1.8608E+00 -1.6536E+03
 -1.6835E+00 -1.6363E+03
 -1.5063E+00 -1.6182E+03
 -1.3291E+00 -1.6002E+03
 -1.1519E+00 -1.5822E+03
 -9.7468E-01 -1.5622E+03
 -7.9747E-01 -1.5414E+03
 -6.2025E-01 -1.5205E+03
 -4.4304E-01 -1.4996E+03
 -2.6582E-01 -1.4774E+03
 -8.8608E-02 -1.4542E+03
  8.8608E-02 -1.4310E+03
  2.6582E-01 -1.4078E+03
  4.4304E-01 -1.3837E+03
  6.2025E-01 -1.3586E+03
  7.9747E-01 -1.3335E+03
  9.7468E-01 -1.3083E+03
  1.1519E+00 -1.2828E+03
  1.3291E+00 -1.2563E+03
