           Z  Fieldvalue
 ----------- -----------
 -6.0000E+01 -1.0867E-01
 -5.9375E+01 -4.8585E-02
 -5.8750E+01  1.1499E-02
 -5.8125E+01 -1.4080E-02
 -5.7500E+01 -4.5566E-02
 -5.6875E+01 -5.7166E-02
 -5.6250E+01 -6.5820E-02
 -5.5625E+01  1.0488E-03
 -5.5000E+01  8.6043E-02
 -5.4375E+01  6.1614E-02
 -5.3750E+01 -8.7515E-04
 -5.3125E+01 -3.2584E-02
 -5.2500E+01 -4.9635E-02
 -5.1875E+01 -3.5049E-02
 -5.1250E+01 -4.8116E-04
 -5.0625E+01  2.2383E-02
 -5.0000E+01  3.5610E-02
 -4.9375E+01  5.0353E-02
 -4.8750E+01  6.6714E-02
 -4.8125E+01  4.8312E-02
 -4.7500E+01 -1.8223E-02
 -4.6875E+01 -6.5026E-02
 -4.6250E+01 -7.5950E-02
 -4.5625E+01 -8.1858E-02
 -4.5000E+01 -7.5501E-02
 -4.4375E+01 -6.4730E-02
 -4.3750E+01 -3.8824E-02
 -4.3125E+01 -2.0124E-02
 -4.2500E+01 -3.8898E-02
 -4.1875E+01 -6.3811E-02
 -4.1250E+01 -1.4602E-01
 -4.0625E+01 -2.2528E-01
 -4.0000E+01 -2.1598E-01
 -3.9375E+01 -2.0668E-01
 -3.8750E+01 -2.1191E-01
 -3.8125E+01 -2.1762E-01
 -3.7500E+01 -3.0191E-01
 -3.6875E+01 -3.9462E-01
 -3.6250E+01 -4.8985E-01
 -3.5625E+01 -5.8556E-01
 -3.5000E+01 -7.2917E-01
 -3.4375E+01 -8.8675E-01
 -3.3750E+01 -1.0620E+00
 -3.3125E+01 -1.2446E+00
 -3.2500E+01 -1.4426E+00
 -3.1875E+01 -1.6491E+00
 -3.1250E+01 -1.9777E+00
 -3.0625E+01 -2.3946E+00
 -3.0000E+01 -2.8632E+00
 -2.9375E+01 -3.3803E+00
 -2.8750E+01 -3.9690E+00
 -2.8125E+01 -4.6447E+00
 -2.7500E+01 -5.4934E+00
 -2.6875E+01 -6.6160E+00
 -2.6250E+01 -7.8779E+00
 -2.5625E+01 -9.4324E+00
 -2.5000E+01 -1.1116E+01
 -2.4375E+01 -1.3168E+01
 -2.3750E+01 -1.5384E+01
 -2.3125E+01 -1.8276E+01
 -2.2500E+01 -2.1312E+01
 -2.1875E+01 -2.5321E+01
 -2.1250E+01 -2.9412E+01
 -2.0625E+01 -3.4709E+01
 -2.0000E+01 -4.0006E+01
 -1.9375E+01 -4.6870E+01
 -1.8750E+01 -5.3734E+01
 -1.8125E+01 -6.2149E+01
 -1.7500E+01 -7.0563E+01
 -1.6875E+01 -8.0268E+01
 -1.6250E+01 -8.9973E+01
 -1.5625E+01 -1.0040E+02
 -1.5000E+01 -1.1083E+02
 -1.4375E+01 -1.2076E+02
 -1.3750E+01 -1.3070E+02
 -1.3125E+01 -1.3933E+02
 -1.2500E+01 -1.4784E+02
 -1.1875E+01 -1.5486E+02
 -1.1250E+01 -1.6156E+02
 -1.0625E+01 -1.6700E+02
 -1.0000E+01 -1.7200E+02
 -9.3750E+00 -1.7604E+02
 -8.7500E+00 -1.7959E+02
 -8.1250E+00 -1.8252E+02
 -7.5000E+00 -1.8498E+02
 -6.8750E+00 -1.8710E+02
 -6.2500E+00 -1.8883E+02
 -5.6250E+00 -1.9032E+02
 -5.0000E+00 -1.9143E+02
 -4.3750E+00 -1.9241E+02
 -3.7500E+00 -1.9309E+02
 -3.1250E+00 -1.9372E+02
 -2.5000E+00 -1.9411E+02
 -1.8750E+00 -1.9449E+02
 -1.2500E+00 -1.9477E+02
 -6.2500E-01 -1.9504E+02
  0.0000E+00 -1.9509E+02
