#Parameters = {H_cav=50; H_pipe=15; L_cav=30; L_pipe=120; W_cav=50; W_pipe=15; beta=1; cellsperw=10; conductivity=10; q=1e-09; sigmaz=18.5}
#"s / mm"	"Z [Real Part]"
#------------------------
-158.15503913577	-2.5385308962053e-15
-157.80083067318	-2.7688753586403e-15
-157.44662221059	-4.7930968370123e-15
-157.09241374800	-7.4140903009510e-15
-156.73820528541	-9.2819474909809e-15
-156.38399682282	-9.7231603973015e-15
-156.02978836023	-9.0328887078663e-15
-155.67557989764	-8.0471166183843e-15
-155.32137143505	-6.9940573865215e-15
-154.96716297246	-5.7815725640248e-15
-154.61295450987	-5.6554328068330e-15
-154.25874604728	-4.6941465668214e-15
-153.90453758469	-1.7485150852914e-15
-153.55032912211	6.3558830739712e-15
-153.19612065952	2.2218284584369e-14
-152.84191219693	5.4480181400810e-14
-152.48770373434	4.4550056498289e-14
-152.13349527175	-1.1622460495614e-13
-151.77928680916	-2.4162428084014e-13
-151.42507834657	-2.2973294423097e-13
-151.07086988398	-5.0189445144794e-14
-150.71666142139	2.1912434767963e-13
-150.36245295880	2.9685036651044e-13
-150.00824449621	1.6253154609425e-13
-149.65403603362	-6.0948314054440e-14
-149.29982757104	-2.1010464738588e-13
-148.94561910845	-2.1256633386417e-13
-148.59141064586	-8.3565826406586e-14
-148.23720218327	7.0915319530806e-14
-147.88299372068	1.4003547629651e-13
-147.52878525809	9.6273383347642e-14
-147.17457679550	-1.0766672566995e-14
-146.82036833291	-9.5009085143998e-14
-146.46615987032	-1.0128370902673e-13
-146.11195140773	-4.6887212437354e-14
-145.75774294514	3.2146243406522e-14
-145.40353448255	6.6436867476947e-14
-145.04932601997	5.0997474833844e-14
-144.69511755738	1.4838491373902e-14
-144.34090909479	-1.1714061909402e-14
-143.98670063220	-2.4629491624183e-14
-143.63249216961	-2.5288628988390e-14
-143.27828370702	7.1431114994946e-15
-142.92407524443	2.7712637069576e-14
-142.56986678184	6.7359992966679e-14
-142.21565831925	8.4499660370655e-14
-141.86144985666	6.5957524649099e-14
-141.50724139407	4.6322221730495e-14
-141.15303293148	3.8954476450736e-14
-140.79882446890	2.8139034873742e-14
-140.44461600631	6.2982988682379e-14
