           Z  Fieldvalue
 ----------- -----------
 -3.8000E+01 -2.8784E+01
 -3.7700E+01 -2.8757E+01
 -3.7399E+01 -2.8730E+01
 -3.7099E+01 -2.8670E+01
 -3.6798E+01 -2.8589E+01
 -3.6498E+01 -2.8491E+01
 -3.6198E+01 -2.8341E+01
 -3.5897E+01 -2.8192E+01
 -3.5597E+01 -2.7969E+01
 -3.5296E+01 -2.7736E+01
 -3.4996E+01 -2.7454E+01
 -3.4696E+01 -2.7121E+01
 -3.4395E+01 -2.6776E+01
 -3.4095E+01 -2.6335E+01
 -3.3794E+01 -2.5894E+01
 -3.3494E+01 -2.5372E+01
 -3.3194E+01 -2.4821E+01
 -3.2893E+01 -2.4234E+01
 -3.2593E+01 -2.3584E+01
 -3.2292E+01 -2.2933E+01
 -3.1992E+01 -2.2209E+01
 -3.1692E+01 -2.1483E+01
 -3.1391E+01 -2.0732E+01
 -3.1091E+01 -1.9964E+01
 -3.0791E+01 -1.9198E+01
 -3.0490E+01 -1.8438E+01
 -3.0190E+01 -1.7679E+01
 -2.9889E+01 -1.6966E+01
 -2.9589E+01 -1.6263E+01
 -2.9289E+01 -1.5607E+01
 -2.8988E+01 -1.5007E+01
 -2.8688E+01 -1.4420E+01
 -2.8387E+01 -1.3964E+01
 -2.8087E+01 -1.3509E+01
 -2.7787E+01 -1.3187E+01
 -2.7486E+01 -1.2918E+01
 -2.7186E+01 -1.2722E+01
 -2.6885E+01 -1.2668E+01
 -2.6585E+01 -1.2615E+01
 -2.6285E+01 -1.2775E+01
 -2.5984E+01 -1.2945E+01
 -2.5684E+01 -1.3247E+01
 -2.5383E+01 -1.3646E+01
 -2.5083E+01 -1.4091E+01
 -2.4783E+01 -1.4723E+01
 -2.4482E+01 -1.5354E+01
 -2.4182E+01 -1.6179E+01
 -2.3881E+01 -1.7047E+01
 -2.3581E+01 -1.8014E+01
 -2.3281E+01 -1.9108E+01
 -2.2980E+01 -2.0217E+01
 -2.2680E+01 -2.1554E+01
 -2.2379E+01 -2.2891E+01
 -2.2079E+01 -2.4419E+01
 -2.1779E+01 -2.6033E+01
 -2.1478E+01 -2.7743E+01
 -2.1178E+01 -2.9667E+01
 -2.0877E+01 -3.1591E+01
 -2.0577E+01 -3.3866E+01
 -2.0277E+01 -3.6166E+01
 -1.9976E+01 -3.8722E+01
 -1.9676E+01 -4.1484E+01
 -1.9375E+01 -4.4345E+01
 -1.9075E+01 -4.7674E+01
 -1.8775E+01 -5.1004E+01
 -1.8474E+01 -5.4892E+01
 -1.8174E+01 -5.8922E+01
 -1.7874E+01 -6.3304E+01
 -1.7573E+01 -6.8171E+01
 -1.7273E+01 -7.3082E+01
 -1.6972E+01 -7.8963E+01
 -1.6672E+01 -8.4843E+01
 -1.6372E+01 -9.1521E+01
 -1.6071E+01 -9.8601E+01
 -1.5771E+01 -1.0608E+02
 -1.5470E+01 -1.1453E+02
 -1.5170E+01 -1.2299E+02
 -1.4870E+01 -1.3286E+02
 -1.4569E+01 -1.4288E+02
 -1.4269E+01 -1.5379E+02
 -1.3968E+01 -1.6548E+02
 -1.3668E+01 -1.7744E+02
 -1.3368E+01 -1.9086E+02
 -1.3067E+01 -2.0427E+02
 -1.2767E+01 -2.1883E+02
 -1.2466E+01 -2.3373E+02
 -1.2166E+01 -2.4949E+02
 -1.1866E+01 -2.6549E+02
 -1.1565E+01 -2.8204E+02
 -1.1265E+01 -2.9873E+02
 -1.0964E+01 -3.1554E+02
 -1.0664E+01 -3.3238E+02
 -1.0364E+01 -3.4878E+02
 -1.0063E+01 -3.6507E+02
 -9.7628E+00 -3.8017E+02
 -9.4625E+00 -3.9495E+02
 -9.1621E+00 -4.0872E+02
 -8.8617E+00 -4.2104E+02
 -8.5613E+00 -4.3325E+02
 -8.2609E+00 -4.4247E+02
 -7.9605E+00 -4.5170E+02
 -7.6601E+00 -4.5872E+02
 -7.3597E+00 -4.6459E+02
 -7.0593E+00 -4.6955E+02
 -6.7589E+00 -4.7211E+02
 -6.4585E+00 -4.7468E+02
 -6.1581E+00 -4.7452E+02
 -5.8577E+00 -4.7405E+02
 -5.5573E+00 -4.7220E+02
 -5.2569E+00 -4.6909E+02
 -4.9565E+00 -4.6565E+02
 -4.6561E+00 -4.6034E+02
 -4.3557E+00 -4.5503E+02
 -4.0553E+00 -4.4837E+02
 -3.7549E+00 -4.4131E+02
 -3.4545E+00 -4.3374E+02
 -3.1542E+00 -4.2536E+02
 -2.8538E+00 -4.1697E+02
 -2.5534E+00 -4.0766E+02
 -2.2530E+00 -3.9835E+02
 -1.9526E+00 -3.8867E+02
 -1.6522E+00 -3.7879E+02
 -1.3518E+00 -3.6884E+02
 -1.0514E+00 -3.5871E+02
 -7.5099E-01 -3.4857E+02
 -4.5059E-01 -3.3843E+02
 -1.5020E-01 -3.2829E+02
  1.5020E-01 -3.1827E+02
  4.5059E-01 -3.0836E+02
  7.5099E-01 -2.9849E+02
  1.0514E+00 -2.8898E+02
  1.3518E+00 -2.7948E+02
  1.6522E+00 -2.7037E+02
  1.9526E+00 -2.6139E+02
  2.2530E+00 -2.5265E+02
  2.5534E+00 -2.4430E+02
  2.8538E+00 -2.3594E+02
  3.1542E+00 -2.2824E+02
  3.4545E+00 -2.2055E+02
  3.7549E+00 -2.1326E+02
  4.0553E+00 -2.0622E+02
  4.3557E+00 -1.9932E+02
  4.6561E+00 -1.9289E+02
  4.9565E+00 -1.8645E+02
  5.2569E+00 -1.8046E+02
  5.5573E+00 -1.7454E+02
  5.8577E+00 -1.6881E+02
  6.1581E+00 -1.6328E+02
  6.4585E+00 -1.5778E+02
  6.7589E+00 -1.5249E+02
  7.0593E+00 -1.4721E+02
  7.3597E+00 -1.4200E+02
  7.6601E+00 -1.3681E+02
  7.9605E+00 -1.3161E+02
  8.2609E+00 -1.2641E+02
  8.5613E+00 -1.2121E+02
  8.8617E+00 -1.1594E+02
  9.1621E+00 -1.1067E+02
  9.4625E+00 -1.0538E+02
  9.7628E+00 -1.0008E+02
  1.0063E+01 -9.4800E+01
  1.0364E+01 -8.9568E+01
  1.0664E+01 -8.4372E+01
  1.0964E+01 -7.9309E+01
  1.1265E+01 -7.4304E+01
  1.1565E+01 -6.9510E+01
  1.1866E+01 -6.4789E+01
  1.2166E+01 -6.0331E+01
  1.2466E+01 -5.5955E+01
  1.2767E+01 -5.1869E+01
  1.3067E+01 -4.7873E+01
  1.3368E+01 -4.4186E+01
  1.3668E+01 -4.0499E+01
  1.3968E+01 -3.7154E+01
  1.4269E+01 -3.3871E+01
  1.4569E+01 -3.0755E+01
  1.4870E+01 -2.7829E+01
  1.5170E+01 -2.4929E+01
  1.5470E+01 -2.2300E+01
  1.5771E+01 -1.9671E+01
  1.6071E+01 -1.7228E+01
  1.6372E+01 -1.4858E+01
  1.6672E+01 -1.2569E+01
  1.6972E+01 -1.0438E+01
  1.7273E+01 -8.3073E+00
  1.7573E+01 -6.4039E+00
  1.7874E+01 -4.5107E+00
  1.8174E+01 -2.7526E+00
  1.8474E+01 -1.0926E+00
  1.8775E+01  5.1548E-01
  1.9075E+01  1.9176E+00
  1.9375E+01  3.3197E+00
  1.9676E+01  4.4846E+00
  1.9976E+01  5.5987E+00
  2.0277E+01  6.5810E+00
  2.0577E+01  7.3996E+00
  2.0877E+01  8.1964E+00
  2.1178E+01  8.6931E+00
  2.1478E+01  9.1898E+00
  2.1779E+01  9.4578E+00
  2.2079E+01  9.6228E+00
  2.2379E+01  9.6876E+00
  2.2680E+01  9.5311E+00
  2.2980E+01  9.3746E+00
  2.3281E+01  8.9228E+00
  2.3581E+01  8.4502E+00
  2.3881E+01  7.8181E+00
  2.4182E+01  7.0589E+00
  2.4482E+01  6.2531E+00
  2.4783E+01  5.2329E+00
  2.5083E+01  4.2127E+00
  2.5383E+01  3.0088E+00
  2.5684E+01  1.7594E+00
  2.5984E+01  4.3269E-01
  2.6285E+01 -9.9926E-01
  2.6585E+01 -2.4375E+00
  2.6885E+01 -4.0079E+00
  2.7186E+01 -5.5784E+00
  2.7486E+01 -7.2181E+00
  2.7787E+01 -8.8923E+00
  2.8087E+01 -1.0587E+01
  2.8387E+01 -1.2331E+01
  2.8688E+01 -1.4075E+01
  2.8988E+01 -1.5855E+01
  2.9289E+01 -1.7638E+01
  2.9589E+01 -1.9428E+01
  2.9889E+01 -2.1224E+01
  3.0190E+01 -2.3020E+01
  3.0490E+01 -2.4814E+01
  3.0791E+01 -2.6609E+01
  3.1091E+01 -2.8391E+01
  3.1391E+01 -3.0171E+01
  3.1692E+01 -3.1938E+01
  3.1992E+01 -3.3689E+01
  3.2292E+01 -3.5439E+01
  3.2593E+01 -3.7147E+01
  3.2893E+01 -3.8855E+01
  3.3194E+01 -4.0515E+01
  3.3494E+01 -4.2150E+01
  3.3794E+01 -4.3757E+01
  3.4095E+01 -4.5288E+01
  3.4395E+01 -4.6819E+01
  3.4696E+01 -4.8214E+01
  3.4996E+01 -4.9591E+01
  3.5296E+01 -5.0861E+01
  3.5597E+01 -5.2026E+01
  3.5897E+01 -5.3155E+01
  3.6198E+01 -5.4048E+01
  3.6498E+01 -5.4941E+01
  3.6798E+01 -5.5582E+01
  3.7099E+01 -5.6141E+01
  3.7399E+01 -5.6561E+01
  3.7700E+01 -5.6750E+01
  3.8000E+01 -5.6939E+01
