#Parameters = {wakelength=10000; H_cav=30; H_pipe=12; L_cav=20; L_pipe=76; W_cav=30; W_pipe=12; beta=1; cellsperw=20; conductivity=10000000; q=1e-09; sigmaz=5}
#"s / cm"	"Z (conductivity=1e+07) [Real Part]"
#---------------------------------------------
-42.744605171828	4.9572580595749e-15
-42.639344061217	5.5766111891222e-15
-42.534082950607	6.3310055637621e-15
-42.428821839996	7.2508873405589e-15
-42.323560729385	8.3339219657682e-15
-42.218299618774	9.6556167151362e-15
-42.113038508163	1.1291493754757e-14
-42.007777397552	1.3339672625362e-14
-41.902516286941	1.5967088278524e-14
-41.797255176330	1.9430182280648e-14
-41.691994065719	2.4102820471442e-14
-41.586732955108	3.0508062507622e-14
-41.481471844497	3.9274769991579e-14
-41.376210733886	4.0060460538490e-14
-41.270949623275	2.8373189254380e-14
-41.165688512665	1.4133526413782e-14
-41.060427402054	6.0252085766598e-18
-40.955166291443	-7.9214690246666e-15
-40.849905180832	-9.6363235214512e-15
-40.744644070221	-1.4379800281360e-15
-40.639382959610	2.2841250311277e-14
-40.534121848999	5.9610409676063e-14
-40.428860738388	9.2719424642993e-14
-40.323599627777	1.1988645081597e-13
-40.218338517166	1.3805046208681e-13
-40.113077406555	1.4917044237284e-13
-40.007816295944	1.5521577570104e-13
-39.902555185333	1.5989164804214e-13
-39.797294074722	1.6623247419003e-13
-39.692032964112	1.7693870565260e-13
-39.586771853501	1.9540098756527e-13
-39.481510742890	2.2391986530917e-13
-39.376249632279	2.6375757085559e-13
-39.270988521668	3.1410340262510e-13
-39.165727411057	3.7521882036629e-13
-39.060466300446	4.4672347161628e-13
-38.955205189835	5.2935929047062e-13
-38.849944079224	6.2183811904262e-13
-38.744682968613	7.2477307984873e-13
-38.639421858002	8.3977660952969e-13
-38.534160747391	9.6925522188732e-13
-38.428899636780	1.1166012119603e-12
-38.323638526169	1.2852569229794e-12
-38.218377415559	1.4799405095385e-12
-38.113116304948	1.7066896732585e-12
-38.007855194337	1.9720632564343e-12
-37.902594083726	2.2816808160264e-12
-37.797332973115	2.6418872264235e-12
-37.692071862504	3.0595722993437e-12
-37.586810751893	3.5427301020259e-12
-37.481549641282	4.1001950638300e-12
-37.376288530671	4.7409227169272e-12
-37.271027420060	5.4762303724864e-12
-37.165766309449	6.3210529995762e-12
-37.060505198838	7.2912654284813e-12
-36.955244088227	8.4071121129649e-12
-36.849982977617	9.6906056532743e-12
-36.744721867006	1.1165326581420e-11
-36.639460756395	1.2861459114708e-11
-36.534199645784	1.4810871408664e-11
-36.428938535173	1.7048962833247e-11
-36.323677424562	1.9619129137235e-11
-36.218416313951	2.2566523000609e-11
-36.113155203340	2.5945785618705e-11
-36.007894092729	2.9816861792146e-11
-35.902632982118	3.4250845346088e-11
-35.797371871507	3.9327882326008e-11
-35.692110760896	4.5139218713100e-11
-35.586849650285	5.1787128264504e-11
-35.481588539674	5.9389122049039e-11
-35.376327429064	6.8076448777657e-11
-35.271066318453	7.8000351268226e-11
-35.165805207842	8.9330853505559e-11
-35.060544097231	1.0226322112178e-10
-34.955282986620	1.1701627281054e-10
-34.850021876009	1.3383966199121e-10
-34.744760765398	1.5301412744274e-10
-34.639499654787	1.7485859452723e-10
-34.534238544176	1.9973535805319e-10
