#Parameters = {beta=1; bunch=6; conductivity=10000; l=20; l_pipe=40; nmesh=50; r=10; r_pipe=2; samples=2000; wakelength=400; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"s / cm"	"Z [Real Part]"
#------------------------
-51.293526206194	-4.5033912809698e-18
-51.242355264994	-5.1702757142591e-18
-51.191184323794	-5.9306623699262e-18
-51.140013382594	-6.7967930638329e-18
-51.088842441394	-7.7823680021464e-18
-51.037671500194	-8.9026985316998e-18
-50.986500558994	-1.0174872986258e-17
-50.935329617794	-1.1617930812483e-17
-50.884158676594	-1.3253050813867e-17
-50.832987735394	-1.5103749813119e-17
-50.781816794194	-1.7196104560950e-17
-50.730645852994	-1.9558977164250e-17
-50.679474911794	-2.2224249193115e-17
-50.628303970594	-2.5227082299294e-17
-50.577133029394	-2.8606173442071e-17
-50.525962088194	-3.2404030821163e-17
-50.474791146994	-3.6667257107498e-17
-50.423620205794	-4.1446836080605e-17
-50.372449264594	-4.6798419568410e-17
-50.321278323394	-5.2782640951231e-17
-50.270107382194	-5.9465398568753e-17
-50.218936440994	-6.6918152407870e-17
-50.167765499794	-7.5218208457431e-17
-50.116594558594	-8.4448990922026e-17
-50.065423617394	-9.4700292003417e-17
-50.014252676194	-1.0606851892623e-16
-49.963081734994	-1.1865690266278e-16
-49.911910793794	-1.3257565198818e-16
-49.860739852594	-1.4794210553706e-16
-49.809568911394	-1.6488081904655e-16
-49.758397970194	-1.8352364010045e-16
-49.707227028994	-2.0400974607480e-16
-49.656056087794	-2.2648546902413e-16
-49.604885146594	-2.5110420906909e-16
-49.553714205394	-2.7802623573602e-16
-49.502543264194	-3.0741846853112e-16
-49.451372322994	-3.3945421738349e-16
-49.400201381794	-3.7431262203993e-16
-49.349030440594	-4.1217828250505e-16
-49.297859499394	-4.5324080291327e-16
-49.246688558194	-4.9769411183726e-16
-49.195517616995	-5.4573594027987e-16
-49.144346675795	-5.9756723177644e-16
-49.093175734595	-6.5339159926695e-16
-49.042004793395	-7.1341494489759e-16
-48.990833852195	-7.7784479419561e-16
-48.939662910995	-8.4689019613446e-16
-48.888491969795	-9.2076161059406e-16
-48.837321028595	-9.9967101916510e-16
-48.786150087395	-1.0838324033856e-15
-48.734979146195	-1.1734620501821e-15
-48.683808204995	-1.2687797327944e-15
-48.632637263795	-1.3700106810602e-15
-48.581466322595	-1.4773874346000e-15
-48.530295381395	-1.5911526798880e-15
-48.479124440195	-1.7115624850305e-15
-48.427953498995	-1.8388903654321e-15
-48.376782557795	-1.9734322227002e-15
-48.325611616595	-2.1155119359184e-15
-48.274440675395	-2.2654874127149e-15
-48.223269734195	-2.4237567610241e-15
-48.172098792995	-2.5907657343642e-15
-48.120927851795	-2.7670155418366e-15
-48.069756910595	-2.9530700704452e-15
-48.018585969395	-3.1495642175944e-15
-47.967415028195	-3.3572107642395e-15
-47.916244086995	-3.5768084537493e-15
-47.865073145795	-3.8092481671837e-15
-47.813902204595	-4.0555192639487e-15
-47.762731263395	-4.3167142663610e-15
-47.711560322195	-4.5940340796010e-15
-47.660389380995	-4.8887910453825e-15
-47.609218439795	-5.2024127233799e-15
-47.558047498595	-5.5364440366598e-15
-47.506876557395	-5.8925509752672e-15
-47.455705616195	-6.2725236285969e-15
-47.404534674995	-6.6782784704247e-15
-47.353363733795	-7.1118647295272e-15
-47.302192792595	-7.5754708287486e-15
-47.251021851395	-8.0714317872860e-15
-47.199850910195	-8.6022390945953e-15
-47.148679968995	-9.1705497269148e-15
-47.097509027795	-9.7791998761080e-15
-47.046338086595	-1.0431217109398e-14
-46.995167145395	-1.1129828128361e-14
-46.943996204195	-1.1878472099708e-14
-46.892825262995	-1.2680805403889e-14
-46.841654321795	-1.3540708107051e-14
-46.790483380595	-1.4462286643086e-14
-46.739312439395	-1.5449874831392e-14
-46.688141498195	-1.6508029698115e-14
-46.636970556995	-1.7641531980264e-14
-46.585799615795	-1.8855379487397e-14
-46.534628674595	-2.0154792696618e-14
-46.483457733395	-2.1545213490100e-14
-46.432286792195	-2.3032313826730e-14
-46.381115850995	-2.4622008627773e-14
-46.329944909795	-2.6320478700304e-14
-46.278773968595	-2.8134197357835e-14
-46.227603027395	-3.0069969741619e-14
-46.176432086195	-3.2134972537393e-14
-46.125261144995	-3.4336807002335e-14
-46.074090203795	-3.6683543060902e-14
-46.022919262595	-3.9183780786390e-14
-45.971748321395	-4.1846702431681e-14
-45.920577380195	-4.4682137645259e-14
-45.869406438995	-4.7700609890410e-14
-45.818235497795	-5.0913405731259e-14
-45.767064556595	-5.4332618723536e-14
-45.715893615395	-5.7971210046188e-14
-45.664722674195	-6.1843073790802e-14
-45.613551732995	-6.5963082586078e-14
-45.562380791795	-7.0347158537001e-14
-45.511209850595	-7.5012337160867e-14
-45.460038909395	-7.9976836970932e-14
-45.408867968195	-8.5260133168456e-14
-45.357697026995	-9.0883027607959e-14
-45.306526085795	-9.6867729061618e-14
-45.255355144595	-1.0323793872119e-13
-45.204184203395	-1.1001892318094e-13
-45.153013262195	-1.1723759573766e-13
-45.101842320995	-1.2492259610653e-13
-45.050671379795	-1.3310438116833e-13
-44.999500438595	-1.4181531204237e-13
-44.948329497395	-1.5108973036445e-13
-44.897158556195	-1.6096405551909e-13
-44.845987614995	-1.7147687359019e-13
-44.794816673795	-1.8266906282667e-13
-44.743645732595	-1.9458394176468e-13
-44.692474791395	-2.0726737773162e-13
-44.641303850195	-2.2076787645998e-13
-44.590132908995	-2.3513680797547e-13
-44.538961967795	-2.5042858764709e-13
-44.487791026595	-2.6670086630187e-13
-44.436620085395	-2.8401469211121e-13
-44.385449144195	-3.0243470488338e-13
-44.334278202995	-3.2202938894952e-13
-44.283107261795	-3.4287130286492e-13
-44.231936320595	-3.6503734997655e-13
-44.180765379395	-3.8860905548284e-13
-44.129594438196	-4.1367288912315e-13
-44.078423496996	-4.4032056849481e-13
-44.027252555796	-4.6864940154224e-13
-43.976081614596	-4.9876263726036e-13
-43.924910673396	-5.3076986131478e-13
-43.873739732196	-5.6478738493504e-13
-43.822568790996	-6.0093860475975e-13
